,height,weight,bmi,url
36,170,64,22.15,https://height-weight-chart.com/videos/v/507-140.mp4
37,170,73,25.26,https://height-weight-chart.com/videos/v/507-160.mp4
38,170,82,28.37,https://height-weight-chart.com/videos/v/507-180.mp4
39,170,95,32.87,https://height-weight-chart.com/videos/v/507-210.mp4
40,170,104,35.99,https://height-weight-chart.com/videos/v/507-230.mp4
41,168,45,15.94,https://height-weight-chart.com/videos/v/506-100.mp4
42,168,50,17.72,https://height-weight-chart.com/videos/v/506-110.mp4
43,168,59,20.9,https://height-weight-chart.com/videos/v/506-130.mp4
44,168,64,22.68,https://height-weight-chart.com/videos/v/506-140.mp4
45,168,68,24.09,https://height-weight-chart.com/videos/v/506-150.mp4
46,168,73,25.86,https://height-weight-chart.com/videos/v/506-160.mp4
47,168,77,27.28,https://height-weight-chart.com/videos/v/506-170.mp4
48,168,82,29.05,https://height-weight-chart.com/videos/v/506-180.mp4
49,168,86,30.47,https://height-weight-chart.com/videos/v/506-190.mp4
50,168,91,32.24,https://height-weight-chart.com/videos/v/506-200.mp4
51,168,95,33.66,https://height-weight-chart.com/videos/v/506-210.mp4
52,168,104,36.85,https://height-weight-chart.com/videos/v/506-230.mp4
53,168,118,41.81,https://height-weight-chart.com/videos/v/506-260.mp4
54,165,50,18.37,https://height-weight-chart.com/videos/v/505-110.mp4
55,165,54,19.83,https://height-weight-chart.com/videos/v/505-120.mp4
56,165,59,21.67,https://height-weight-chart.com/videos/v/505-130.mp4
57,165,64,23.51,https://height-weight-chart.com/videos/v/505-140.mp4
58,165,68,24.98,https://height-weight-chart.com/videos/v/505-150.mp4
59,165,77,28.28,https://height-weight-chart.com/videos/v/505-170.mp4
60,165,82,30.12,https://height-weight-chart.com/videos/v/505-180.mp4
61,165,86,31.59,https://height-weight-chart.com/videos/v/505-190.mp4
62,165,91,33.43,https://height-weight-chart.com/videos/v/505-200.mp4
63,165,100,36.73,https://height-weight-chart.com/videos/v/505-220.mp4
64,163,45,16.94,https://height-weight-chart.com/videos/v/504-100.mp4
65,163,50,18.82,https://height-weight-chart.com/videos/v/504-110.mp4
66,163,54,20.32,https://height-weight-chart.com/videos/v/504-120.mp4
67,163,59,22.21,https://height-weight-chart.com/videos/v/504-130.mp4
68,163,64,24.09,https://height-weight-chart.com/videos/v/504-140.mp4
69,163,68,25.59,https://height-weight-chart.com/videos/v/504-150.mp4
70,163,73,27.48,https://height-weight-chart.com/videos/v/504-160.mp4
71,163,77,28.98,https://height-weight-chart.com/videos/v/504-170.mp4
72,163,82,30.86,https://height-weight-chart.com/videos/v/504-180.mp4
73,163,86,32.37,https://height-weight-chart.com/videos/v/504-190.mp4
74,163,145,54.57,https://height-weight-chart.com/videos/v/504-320.mp4
75,160,41,16.02,https://height-weight-chart.com/videos/v/503-90.mp4
76,160,45,17.58,https://height-weight-chart.com/videos/v/503-100.mp4
77,160,50,19.53,https://height-weight-chart.com/videos/v/503-110.mp4
78,160,54,21.09,https://height-weight-chart.com/videos/v/503-120.mp4
79,160,59,23.05,https://height-weight-chart.com/videos/v/503-130.mp4
80,160,64,25.0,https://height-weight-chart.com/videos/v/503-140.mp4
81,160,73,28.52,https://height-weight-chart.com/videos/v/503-160.mp4
82,160,82,32.03,https://height-weight-chart.com/videos/v/503-180.mp4
83,160,86,33.59,https://height-weight-chart.com/videos/v/503-190.mp4
84,160,91,35.55,https://height-weight-chart.com/videos/v/503-200.mp4
85,160,100,39.06,https://height-weight-chart.com/videos/v/503-220.mp4
86,157,45,18.26,https://height-weight-chart.com/videos/v/502-100.mp4
87,157,50,20.28,https://height-weight-chart.com/videos/v/502-110.mp4
88,157,54,21.91,https://height-weight-chart.com/videos/v/502-120.mp4
89,157,59,23.94,https://height-weight-chart.com/videos/v/502-130.mp4
90,157,64,25.96,https://height-weight-chart.com/videos/v/502-140.mp4
91,157,68,27.59,https://height-weight-chart.com/videos/v/502-150.mp4
92,157,73,29.62,https://height-weight-chart.com/videos/v/502-160.mp4
93,157,77,31.24,https://height-weight-chart.com/videos/v/502-170.mp4
94,157,95,38.54,https://height-weight-chart.com/videos/v/502-210.mp4
95,157,104,42.19,https://height-weight-chart.com/videos/v/502-230.mp4
96,155,45,18.73,https://height-weight-chart.com/videos/v/501-100.mp4
97,155,50,20.81,https://height-weight-chart.com/videos/v/501-110.mp4
98,155,54,22.48,https://height-weight-chart.com/videos/v/501-120.mp4
99,155,59,24.56,https://height-weight-chart.com/videos/v/501-130.mp4
100,155,64,26.64,https://height-weight-chart.com/videos/v/501-140.mp4
101,155,73,30.39,https://height-weight-chart.com/videos/v/501-160.mp4
102,155,77,32.05,https://height-weight-chart.com/videos/v/501-170.mp4
103,155,82,34.13,https://height-weight-chart.com/videos/v/501-180.mp4
104,152,50,21.64,https://height-weight-chart.com/videos/v/500-110.mp4
105,152,59,25.54,https://height-weight-chart.com/videos/v/500-130.mp4
106,152,64,27.7,https://height-weight-chart.com/videos/v/500-140.mp4
107,152,95,41.12,https://height-weight-chart.com/videos/v/500-210.mp4
108,150,41,18.22,https://height-weight-chart.com/videos/v/411-90.mp4
109,150,45,20.0,https://height-weight-chart.com/videos/v/411-100.mp4
110,150,50,22.22,https://height-weight-chart.com/videos/v/411-110.mp4
111,150,54,24.0,https://height-weight-chart.com/videos/v/411-120.mp4
112,150,41,18.22,https://height-weight-chart.com/videos/v/411-090.mp4
113,150,54,24.0,https://height-weight-chart.com/videos/v/411-120b.mp4
114,150,54,24.0,https://height-weight-chart.com/videos/v/411-120c.mp4
115,152,59,25.54,https://height-weight-chart.com/videos/v/500-130b.mp4
116,152,64,27.7,https://height-weight-chart.com/videos/v/500-140b.mp4
117,155,45,18.73,https://height-weight-chart.com/videos/v/501-100b.mp4
118,155,50,20.81,https://height-weight-chart.com/videos/v/501-110b.mp4
119,155,54,22.48,https://height-weight-chart.com/videos/v/501-120b.mp4
120,155,54,22.48,https://height-weight-chart.com/videos/v/501-120c.mp4
121,155,54,22.48,https://height-weight-chart.com/videos/v/501-120d.mp4
122,157,45,18.26,https://height-weight-chart.com/videos/v/502-100b.mp4
123,157,59,23.94,https://height-weight-chart.com/videos/v/502-130b.mp4
124,157,59,23.94,https://height-weight-chart.com/videos/v/502-130c.mp4
125,157,68,27.59,https://height-weight-chart.com/videos/v/502-150b.mp4
126,157,68,27.59,https://height-weight-chart.com/videos/v/502-150c.mp4
127,157,68,27.59,https://height-weight-chart.com/videos/v/502-150d.mp4
128,157,73,29.62,https://height-weight-chart.com/videos/v/502-160b.mp4
129,157,73,29.62,https://height-weight-chart.com/videos/v/502-160c.mp4
130,157,77,31.24,https://height-weight-chart.com/videos/v/502-170b.mp4
131,160,41,16.02,https://height-weight-chart.com/videos/v/503-090.mp4
132,160,45,17.58,https://height-weight-chart.com/videos/v/503-100b.mp4
133,160,54,21.09,https://height-weight-chart.com/videos/v/503-120b.mp4
134,160,59,23.05,https://height-weight-chart.com/videos/v/503-130b.mp4
135,160,59,23.05,https://height-weight-chart.com/videos/v/503-130c.mp4
136,160,91,35.55,https://height-weight-chart.com/videos/v/503-200b.mp4
137,163,45,16.94,https://height-weight-chart.com/videos/v/504-100b.mp4
138,163,50,18.82,https://height-weight-chart.com/videos/v/504-110b.mp4
139,163,54,20.32,https://height-weight-chart.com/videos/v/504-120b.mp4
140,163,64,24.09,https://height-weight-chart.com/videos/v/504-140b.mp4
141,163,68,25.59,https://height-weight-chart.com/videos/v/504-150b.mp4
142,163,68,25.59,https://height-weight-chart.com/videos/v/504-150c.mp4
143,163,68,25.59,https://height-weight-chart.com/videos/v/504-150d.mp4
144,163,73,27.48,https://height-weight-chart.com/videos/v/504-160b.mp4
145,163,73,27.48,https://height-weight-chart.com/videos/v/504-160c.mp4
146,163,77,28.98,https://height-weight-chart.com/videos/v/504-170b.mp4
147,163,122,45.92,https://height-weight-chart.com/videos/v/504-270.mp4
148,165,54,19.83,https://height-weight-chart.com/videos/v/505-120b.mp4
149,165,68,24.98,https://height-weight-chart.com/videos/v/505-150b.mp4
150,168,64,22.68,https://height-weight-chart.com/videos/v/506-140b.mp4
151,168,68,24.09,https://height-weight-chart.com/videos/v/506-150b.mp4
152,168,73,25.86,https://height-weight-chart.com/videos/v/506-160b.mp4
153,168,77,27.28,https://height-weight-chart.com/videos/v/506-170b.mp4
154,168,118,41.81,https://height-weight-chart.com/videos/v/506-260b.mp4
155,170,59,20.42,https://height-weight-chart.com/videos/v/507-130b.mp4
156,170,64,22.15,https://height-weight-chart.com/videos/v/507-140b.mp4
157,170,122,42.21,https://height-weight-chart.com/videos/v/507-270.mp4
158,175,154,50.29,https://height-weight-chart.com/videos/v/509-340.mp4
159,178,73,23.04,https://height-weight-chart.com/videos/v/510-160b.mp4
160,178,77,24.3,https://height-weight-chart.com/videos/v/510-170b.mp4
161,180,82,25.31,https://height-weight-chart.com/videos/v/511-180b.mp4
162,180,154,47.53,https://height-weight-chart.com/videos/v/511-340.mp4
163,191,82,22.48,https://height-weight-chart.com/videos/v/603-180b.mp4
164,201,100,24.75,https://height-weight-chart.com/videos/v/607-220.mp4
165,203,177,42.95,https://height-weight-chart.com/videos/v/608-390.mp4
